search_type,filename,num_veh,dist,d0,d1,d2,d3,d4,Number of vehicles,Max capacity,Customers,total demand,Minimum vehicles to satisfy capacity
heuristic,r207,4,2327.6844361,0.791725038083,0.528894919753,0.5680445610939999,0.925596638293,0.07103605819789999,25,1000,101,1458,1.4580000000000002
heuristic,r207,5,2752.12842443,0.08712929970149999,0.0202183974403,0.8326198455480001,0.77815675095,0.870012148247,25,1000,101,1458,1.4580000000000002
heuristic,r207,4,1822.24583489,0.9786183422329999,0.799158564217,0.461479362253,0.780529176286,0.118274425869,25,1000,101,1458,1.4580000000000002
heuristic,r207,4,1917.71481686,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991,25,1000,101,1458,1.4580000000000002
heuristic,r207,4,1693.18142408,0.264555612105,0.774233689434,0.45615033221699997,0.568433948869,0.018789800436400002,25,1000,101,1458,1.4580000000000002
heuristic,r207,4,2285.3143231,0.617635497076,0.6120957227220001,0.616933996875,0.9437480785150001,0.681820299103,25,1000,101,1458,1.4580000000000002
heuristic,r207,3,1581.32429555,0.359507900574,0.437031953799,0.6976311959270001,0.060225471629300004,0.6667667154460001,25,1000,101,1458,1.4580000000000002
heuristic,r207,5,2913.50459839,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.36371077094300003,25,1000,101,1458,1.4580000000000002
heuristic,r208,3,1441.85541731,0.548813503927,0.7151893663719999,0.6027633760719999,0.544883182997,0.42365479933899997,25,1000,101,1458,1.4580000000000002
heuristic,r208,4,1883.72366075,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826,25,1000,101,1458,1.4580000000000002
heuristic,r208,4,1895.41983956,0.791725038083,0.528894919753,0.5680445610939999,0.925596638293,0.07103605819789999,25,1000,101,1458,1.4580000000000002
heuristic,r208,4,2523.32515128,0.08712929970149999,0.0202183974403,0.8326198455480001,0.77815675095,0.870012148247,25,1000,101,1458,1.4580000000000002
heuristic,r208,3,1434.71572314,0.9786183422329999,0.799158564217,0.461479362253,0.780529176286,0.118274425869,25,1000,101,1458,1.4580000000000002
heuristic,r208,3,1521.62087911,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991,25,1000,101,1458,1.4580000000000002
heuristic,r208,3,1283.06829789,0.264555612105,0.774233689434,0.45615033221699997,0.568433948869,0.018789800436400002,25,1000,101,1458,1.4580000000000002
heuristic,r208,4,1981.66728683,0.617635497076,0.6120957227220001,0.616933996875,0.9437480785150001,0.681820299103,25,1000,101,1458,1.4580000000000002
heuristic,r208,4,1384.87504764,0.359507900574,0.437031953799,0.6976311959270001,0.060225471629300004,0.6667667154460001,25,1000,101,1458,1.4580000000000002
heuristic,r208,4,2714.54257902,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.36371077094300003,25,1000,101,1458,1.4580000000000002
heuristic,r209,4,2239.35895706,0.548813503927,0.7151893663719999,0.6027633760719999,0.544883182997,0.42365479933899997,25,1000,101,1458,1.4580000000000002
heuristic,r209,5,2515.57495124,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826,25,1000,101,1458,1.4580000000000002
heuristic,r209,5,2809.38017609,0.791725038083,0.528894919753,0.5680445610939999,0.925596638293,0.07103605819789999,25,1000,101,1458,1.4580000000000002
